species,fisheries_target
Abudefduf bengalensis,1
Abudefduf sexfasciatus,1
Abudefduf vaigiensis,1
Abudefduf whitleyi,1
Acanthaluteres brownii,2
Acanthaluteres spilomelanurus,1
Acanthaluteres vittiger,2
Acanthochromis polyacanthus,1
Acanthopagrus australis,3
Acanthurus albipectoralis,1
Acanthurus blochii,1
Acanthurus dussumieri,1
Acanthurus grammoptilus,1
Acanthurus lineatus,1
Acanthurus nigricans,1
Acanthurus nigricauda,1
Acanthurus nigrofuscus,1
Acanthurus nigroris,1
Acanthurus olivaceus,1
Acanthurus pyroferus,1
Acanthurus triostegus,1
Achoerodus gouldii,3
Achoerodus viridis,3
Amblyglyphidodon curacao,1
Amblyglyphidodon leucogaster,1
Amblygobius phalaena,1
Amphiprion akindynos,1
Anampses elegans,1
Anampses geographicus,1
Anampses neoguinaicus,1
Aplodactylus arctidens,3
Aplodactylus lophodon,1
Apogon doederleini,1
Apogon limenus,1
Apogon victoriae,1
Aracana aurita,1
Arripis georgianus,3
Arripis trutta,3
Atypichthys strigatus,1
Austrolabrus maculatus,1
Brachaluteres jacksonianus,1
Caesio caerulaurea,1
Caesio cuning,1
Caesio teres,1
Caesioperca lepidoptera,1
Caesioperca rasor,1
Caesioscorpis theagenes,1
Canthigaster valentini,1
Caranx melampygus,3
Caranx sexfasciatus,2
Centropyge bicolor,1
Centropyge bispinosa,1
Centropyge tibicen,1
Centropyge vrolikii,1
Chaetodon aureofasciatus,1
Chaetodon auriga,1
Chaetodon baronessa,1
Chaetodon citrinellus,1
Chaetodon flavirostris,1
Chaetodon guentheri,1
Chaetodon kleinii,1
Chaetodon lunulatus,1
Chaetodon melannotus,1
Chaetodon mertensii,1
Chaetodon pelewensis,1
Chaetodon plebeius,1
Chaetodon rainfordi,1
Chaetodon tricinctus,1
Chaetodon trifascialis,1
Cheilinus chlorourus,1
Cheilinus fasciatus,1
Cheilinus trilobatus,1
Cheilodactylus fuscus,3
Cheilodactylus nigripes,2
Cheilodactylus spectabilis,3
Cheilodactylus vestitus,2
Cheilodipterus quinquelineatus,1
Chelmon marginalis,1
Chelmonops curiosus,1
Chironemus marmoratus,1
Chlorurus microrhinos,2
Chlorurus sordidus,1
Choerodon cyanodus,3
Choerodon rubescens,3
Choerodon schoenleinii,3
Chromis amboinensis,1
Chromis atripectoralis,1
Chromis atripes,1
Chromis chrysura,1
Chromis flavomaculata,1
Chromis hypsilepis,1
Chromis klunzingeri,1
Chromis margaritifer,1
Chromis nitida,1
Chromis ternatensis,1
Chromis viridis,1
Chromis weberi,1
Chromis westaustralis,1
Chromis xanthochira,1
Chromis xanthura,1
Chrysophrys auratus,3
Cirrhilabrus exquisitus,1
Cirrhilabrus punctatus,1
Cirripectes filamentosus,1
Coris auricularis,2
Coris aygula,1
Coris batuensis,1
Coris bulbifrons,3
Coris picta,1
Ctenochaetus binotatus,1
Ctenochaetus cyanocheilus,1
Ctenochaetus striatus,1
Dactylophora nigricans,3
Dascyllus aruanus,1
Dascyllus reticulatus,1
Dascyllus trimaculatus,1
Diagramma labiosum,2
Dinolestes lewini,3
Diodon nicthemerus,1
Dischistodus melanotus,1
Dischistodus perspicillatus,1
Dischistodus prosopotaenia,1
Dischistodus pseudochrysopoecilus,1
Dotalabrus alleni,1
Dotalabrus aurantiacus,1
Enoplosus armatus,2
Epibulus insidiator,1
Epinephelides armatus,3
Epinephelus fasciatus,3
Eubalichthys bucephalus,3
Eupetrichthys angustipes,1
Forcipiger flavissimus,1
Gerres subfasciatus,1
Girella elevata,3
Girella tricuspidata,3
Girella zebra,2
Gnathodentex aureolineatus,1
Gomphosus varius,1
Halichoeres biocellatus,1
Halichoeres brownfieldi,1
Halichoeres hortulanus,1
Halichoeres margaritaceus,1
Halichoeres marginatus,1
Halichoeres melanochir,1
Halichoeres melanurus,1
Halichoeres miniatus,1
Halichoeres nebulosus,1
Halichoeres nigrescens,1
Halichoeres trimaculatus,1
Hemiglyphidodon plagiometopon,1
Hemigymnus fasciatus,2
Hemigymnus melapterus,2
Hemitaurichthys polylepis,1
Heterodontus portusjacksoni,2
Heteroscarus acroptilus,1
Hipposcarus longiceps,1
Hypoplectrodes maccullochi,1
Kyphosus bigibbus,1
Kyphosus cinerascens,1
Kyphosus cornelii,2
Kyphosus sectatrix,1
Kyphosus sydneyanus,2
Labrichthys unilineatus,1
Labroides bicolor,1
Labroides dimidiatus,1
Labropsis australis,1
Latridopsis forsteri,3
Leptojulis cyanopleura,1
Lethrinus nebulosus,3
Lutjanus bohar,2
Lutjanus carponotatus,3
Lutjanus fulviflamma,2
Lutjanus gibbus,1
Lutjanus kasmira,2
Lutjanus quinquelineatus,2
Macropharyngodon meleagris,1
Mecaenichthys immaculatus,1
Meiacanthus atrodorsalis,1
Meuschenia australis,2
Meuschenia flavolineata,2
Meuschenia freycineti,3
Meuschenia galii,2
Meuschenia hippocrepis,2
Meuschenia trachylepis,2
Microcanthus strigatus,1
Monodactylus argenteus,1
Monotaxis grandoculis,1
Monotaxis heterodon,1
Mugil cephalus,3
Mulloidichthys flavolineatus,1
Mulloidichthys vanicolensis,1
Myripristis kuntee,1
Myripristis violacea,1
Myripristis vittata,1
Naso brevirostris,1
Naso lituratus,1
Naso tonganus,1
Naso unicornis,1
Neatypus obliquus,1
Neoglyphidodon melas,1
Neoglyphidodon nigroris,1
Neoniphon sammara,1
Neoodax balteatus,1
Notolabrus fucicola,3
Notolabrus gymnogenis,3
Notolabrus parilus,3
Notolabrus tetricus,3
Olisthops cyanomelas,2
Ophthalmolepis lineolatus,2
Ostorhinchus aureus,1
Ostorhinchus compressus,1
Oxycheilinus digrammus,1
Oxycheilinus unifasciatus,1
Oxymonacanthus longirostris,1
Paracaesio xanthura,1
Paracirrhites arcatus,1
Paracirrhites forsteri,1
Parapercis haackei,1
Parapriacanthus elongatus,1
Parequula melbournensis,1
Parma mccullochi,1
Parma microlepis,1
Parma occidentalis,1
Parma polylepis,1
Parma unifasciata,1
Parma victoriae,1
Parupeneus barberinoides,2
Parupeneus crassilabris,2
Parupeneus multifasciatus,2
Parupeneus spilurus,2
Pempheris affinis,1
Pempheris analis,1
Pempheris compressa,1
Pempheris klunzingeri,1
Pempheris multiradiata,1
Pempheris oualensis,1
Pictilabrus laticlavius,2
Pictilabrus viridis,1
Plagiotremus rhinorhynchos,1
Plagiotremus tapeinosoma,1
Plectorhinchus flavomaculatus,2
Plectroglyphidodon dickii,1
Plectroglyphidodon johnstonianus,1
Plectroglyphidodon lacrymatus,1
Plectropomus leopardus,3
Plectropomus maculatus,3
Plotosus lineatus,1
Pomacanthus sexstriatus,1
Pomacentrus adelus,1
Pomacentrus amboinensis,1
Pomacentrus australis,1
Pomacentrus bankanensis,1
Pomacentrus brachialis,1
Pomacentrus chrysurus,1
Pomacentrus coelestis,1
Pomacentrus grammorhynchus,1
Pomacentrus lepidogenys,1
Pomacentrus milleri,1
Pomacentrus moluccensis,1
Pomacentrus nagasakiensis,1
Pomacentrus philippinus,1
Pomacentrus vaiuli,1
Pomacentrus wardi,1
Prionurus maculatus,2
Prionurus microlepidotus,2
Psammoperca waigiensis,3
Pseudanthias pascalus,1
Pseudanthias squamipinnis,1
Pseudanthias tuka,1
Pseudocaranx georgianus,3
Pseudocheilinus hexataenia,1
Pseudochromis fuscus,1
Pseudolabrus biserialis,1
Pseudolabrus guentheri,2
Pseudolabrus luculentus,1
Pseudolabrus mortonii,2
Ptereleotris evides,1
Ptereleotris microlepis,1
Pterocaesio digramma,1
Pterocaesio marri,1
Pterocaesio tile,1
Pterocaesio trilineata,1
Rhabdosargus sarba,3
Scarus altipinnis,1
Scarus chameleon,1
Scarus flavipectoralis,1
Scarus frenatus,1
Scarus ghobban,1
Scarus niger,1
Scarus prasiognathos,1
Scarus rivulatus,1
Scarus schlegeli,1
Schuettea scalaripinnis,1
Schuettea woodwardi,1
Scobinichthys granulatus,2
Scolopsis bilineata,1
Scorpis aequipinnis,3
Scorpis georgiana,2
Scorpis lineolata,3
Seriola lalandi,3
Serranocirrhitus latus,1
Siganus doliatus,1
Siganus fuscescens,1
Siganus virgatus,1
Siphonognathus beddomei,1
Sphyraena obtusata,2
Stegastes apicalis,1
Stegastes fasciolatus,1
Stegastes gascoynei,1
Stegastes nigricans,1
Stegastes obreptus,1
Stethojulis bandanensis,1
Stethojulis interrupta,1
Stethojulis strigiventer,1
Sufflamen chrysopterum,1
Thalassoma amblycephalum,1
Thalassoma hardwicke,1
Thalassoma jansenii,1
Thalassoma lunare,1
Thalassoma lutescens,1
Thalassoma nigrofasciatum,1
Thalassoma quinquevittatum,1
Tilodon sexfasciatus,1
Torquigener pleurogramma,1
Trachinops caudimaculatus,1
Trachinops noarlungae,1
Trachinops taeniatus,1
Trachurus declivis,3
Trachurus novaezelandiae,3
Upeneichthys lineatus,3
Upeneichthys vlamingii,3
Valenciennea muralis,1
Zanclus cornutus,1
Zebrasoma scopas,1
Zebrasoma veliferum,1
